iter	Passed	Remaining
754	1908	8204
755	1911	8203
756	1914	8202
757	1917	8201
758	1920	8200
759	1922	8197
760	1925	8193
761	1927	8192
762	1930	8191
763	1933	8191
764	1936	8188
765	1938	8186
766	1941	8183
767	1943	8180
768	1946	8177
769	1949	8177
770	1951	8174
771	1954	8170
772	1956	8168
773	1959	8165
774	1961	8162
775	1964	8160
776	1966	8158
777	1969	8156
778	1971	8152
779	1974	8149
780	1976	8145
781	1978	8141
782	1981	8139
783	1983	8137
784	1986	8134
785	1988	8131
786	1991	8128
787	1993	8125
788	1995	8122
789	1998	8120
790	2001	8117
791	2003	8114
792	2005	8111
793	2008	8108
794	2010	8105
795	2013	8104
796	2015	8101
797	2018	8099
798	2021	8096
799	2023	8093
800	2025	8091
801	2028	8089
802	2031	8087
803	2033	8084
804	2036	8081
805	2038	8078
806	2040	8074
807	2043	8071
808	2045	8068
809	2048	8065
810	2050	8063
811	2052	8060
812	2055	8057
813	2058	8055
814	2060	8054
815	2063	8052
816	2066	8050
817	2068	8048
818	2071	8045
819	2073	8042
820	2076	8040
821	2079	8038
822	2081	8036
823	2084	8033
824	2086	8030
825	2088	8026
826	2091	8024
827	2094	8022
828	2096	8019
829	2098	8016
830	2101	8012
831	2103	8010
832	2105	8006
833	2108	8004
834	2111	8002
835	2113	7999
836	2116	7996
837	2118	7993
838	2120	7989
839	2123	7987
840	2125	7985
841	2128	7983
842	2131	7980
843	2133	7977
844	2135	7973
845	2137	7970
846	2140	7967
847	2142	7965
848	2145	7961
849	2147	7958
850	2149	7955
851	2152	7952
852	2154	7949
853	2157	7947
854	2160	7945
855	2162	7942
856	2164	7938
857	2167	7936
858	2169	7933
859	2172	7931
860	2175	7930
861	2178	7929
862	2180	7925
863	2182	7922
864	2185	7920
865	2187	7918
866	2191	7917
867	2193	7914
868	2196	7912
869	2198	7909
870	2201	7907
871	2203	7905
872	2206	7904
873	2209	7902
874	2211	7899
875	2214	7897
876	2216	7894
877	2219	7891
878	2222	7890
879	2224	7887
880	2227	7884
881	2229	7881
882	2231	7878
883	2234	7874
884	2236	7871
885	2239	7869
886	2241	7866
887	2243	7863
888	2246	7859
889	2248	7856
890	2250	7853
891	2253	7852
892	2256	7851
893	2259	7849
894	2262	7848
895	2264	7845
896	2266	7841
897	2268	7837
898	2271	7835
899	2274	7833
900	2276	7830
901	2279	7828
902	2281	7825
903	2284	7822
904	2287	7821
905	2289	7818
906	2291	7815
907	2294	7813
908	2296	7810
909	2299	7807
910	2302	7805
911	2304	7803
912	2307	7800
913	2309	7797
914	2311	7793
915	2313	7790
916	2316	7787
917	2318	7785
918	2321	7782
919	2323	7779
920	2326	7776
921	2328	7773
922	2331	7770
923	2333	7768
924	2336	7765
925	2338	7762
926	2340	7759
927	2342	7755
928	2345	7753
929	2347	7750
930	2350	7749
931	2353	7746
932	2355	7743
933	2358	7740
934	2360	7738
935	2363	7735
936	2365	7734
937	2368	7731
